candidate_id,arabic_script,english,sector,issue_type,category,variants,tier_notes,usage_notes,source_type,source_reference,dialect_region,confidence_level,false_friend_risk,risk_level,review_status,reviewer_id,decision,promotion_target,created_at,updated_at
ARZ-CAND-0011,حاجز,barrier,ROADS,ROAD_BLOCKED,noun_infra,7ajez;7ajez 3al tari2;7ajez meksour,A/B/C,7ajez = barrier,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,MEDIUM,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0012,تحذير,warning marking,ROADS,ROAD_DAMAGE,noun_infra,ta7dir;mafi ta7dir;bla ta7dir;3elem ta7dir,A/B/B/C,ta7dir = warning; ma fi ta7dir = no warning = hazard,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0013,رصيف,sidewalk,ROADS,ROAD_DAMAGE,noun_infra,rasif;rasif meksour;rasif kharban;troar,A/B/C/C,rasif standard; troar = French loanword trottoir,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0014,حارة,lane,ROADS,ROAD_BLOCKED,noun_infra,7ara;7art l siyyara;7ara msakkar,A/B/B,7ara = lane AND neighbourhood — false friend,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,true,MEDIUM,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0015,طريق جانبي,side road,ROADS,ALL,noun_infra,tari2 janabi;tari2 2al jawaneb;sikkit janbiye,A/B/C,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0016,خطوط,lane markings,ROADS,ROAD_DAMAGE,noun_infra,khoutout;mafi khoutout;khoutout mshit,A/B/C,khoutout = lines/markings,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0017,منحنى,curve/bend,ROADS,ROAD_DAMAGE,noun_infra,man7ana;nafouri;dar2;leffeh,A/B/B/C,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0018,إنارة طريق,road lighting,ROADS,ROAD_DAMAGE,noun_infra,2inara;2inaret l tari2;2inara kharban;daw l tari2 kharban,A/A/B/B,2inara = lighting,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0019,حادث,accident,ROADS,SAFETY,noun_event,7adis;7adis 3al tari2;3ada 7adis,A/B/C,7adis = incident/accident,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0020,مياه / ماء,water,WATER,ALL,noun_infra,may;mai;ma2;l may;maya,A/B/C/A/C,may is universal Lebanese; ma2 is MSA-influenced; maya rare,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,LOW,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0021,انقطع,cut off (water),WATER,WATER_CUT,verb,2ata3et;inkata3et;2it3et;nkata3et;2at3a,A/B/B/B/A,2ata3et most common; 2at3a = cut adj,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,MEDIUM,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0022,ضغط,pressure,WATER,LOW_PRESSURE,noun_infra,daght;daght l may;daght khafif;ma fi daght,A/A/B/B,daght = pressure; daght khafif = low pressure,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0023,تسرب,leak,WATER,PIPE_LEAK,noun_event,tasarroub;tasarrob;sarrab;3am ysarrab;anboub sarrab,A/A/B/B/C,tasarroub standard; sarrab = leaked,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0024,خزان,tank,WATER,NO_SUPPLY,noun_infra,5azzan;5azzan fadi;5azzan meksour;2azzan,A/B/C/D,5azzan = tank/reservoir; fadi = empty,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0025,أنبوب,pipe,WATER,PIPE_LEAK,noun_infra,anboub;anboub meksour;anboub kharban;anboub sarrab;masouri,A/B/B/C/B,anboub standard; masouri = pipe colloquial,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0026,نبع,spring/source,WATER,NO_SUPPLY,noun_infra,nab3;nab3 jefef;nab3 meksouf;nab3 msedoud;beer may;beer may jfef,A/B/B/C/B/C,nab3 = spring; beer may = water well; jefef = dried up,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,true,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0027,صرف صحي,sewage,WATER,SEWAGE_OVERFLOW,noun_infra,sarif;sarif sa77i;sarif kharban;sarif 3am yetfayan,A/A/B/B,sarif standard; sa77i = sanitary,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0028,ريحة ماء,water smell,WATER,DIRTY_WATER,noun_quality,ri7a besh3a;ri7a bish3a;ri7a mish taybe;ri7a msh mni7a;ri7a zeft,A/A/B/B/C,ri7a besh3a = foul smell; CORRECT form,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0029,لون غريب,strange colour,WATER,DIRTY_WATER,noun_quality,lawn ghareeb;may sawda;may sfara;may 7amra,A/B/B/C,lawn ghareeb = strange colour; may sawda = black water,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0030,عكارة,turbidity,WATER,DIRTY_WATER,noun_quality,3okre;3akre;may 3akre;may wa5r,A/B/B/C,3okre/3akre = murky; may wa5r = dirty water,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0031,ري,irrigation,WATER,ALL,noun_infra,rey;ray;tesbil;may l rey,A/A/B/B,rey/ray = irrigation,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0032,مياه جارية,running water,WATER,PIPE_LEAK,noun_event,may 3am yejri;may tsayel;may sayel;may 3am teje,A/B/B/C,sayel = flowing,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,true,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0033,محطة ضخ,pumping station,WATER,NO_SUPPLY,noun_infra,ma7attet da55;da55et may;pump kharban;ma7atta kharban,A/B/B/C,pump = loanword,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0034,مجرور,sewer,WATER,SEWAGE_OVERFLOW,noun_infra,majrour;majrour msedoud;majrour kharban;4a77ouri,A/B/C/D,majrour standard; 4a77ouri colloquial,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0035,كهرباء,electricity,ELECTRICITY,ALL,noun_infra,kahraba;kahrabe;2elektreh;la kahraba,A/A/B/A,kahraba standard Beirut; kahrabe variant,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0036,انقطاع,outage,ELECTRICITY,POWER_OUTAGE,noun_event,2ata3;2at3a;inkata3;nkata3;3atme,A/B/B/B/A,3atme = darkness = outage; 2at3a = cut,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,MEDIUM,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0037,مولد,generator,ELECTRICITY,GENERATOR,noun_infra,moulid;muwalid;generator;moulid kharban;moulid 3atlan,A/B/B/B/B,moulid standard; 3atlan = not working,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0038,عداد,meter,ELECTRICITY,ALL,noun_infra,meter;3addad;compteur;3addad kharban,A/A/B/B,meter/compteur loanwords; 3addad = counter,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0039,تمديد,wiring,ELECTRICITY,EXPOSED_WIRE,noun_infra,tamded;silk kahraba;7abal kahraba;tamded meksour,A/B/B/C,silk/7abal = wire; tamded = wiring,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,HIGH,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0040,صعقة,electric shock,ELECTRICITY,EXPOSED_WIRE,noun_event,shar2ata;sa32;5atar sa32;fi shar2ata,A/B/B/C,shar2ata = Lebanese colloquial shock; sa32 = MSA formal,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,HIGH,DEFERRED,,KEEP_CANDIDATE,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0041,محول,transformer,ELECTRICITY,ALL,noun_infra,transformer;transformateur;muhawwil;trafo,A/A/B/C,transformer/trafo loanwords,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0042,فيوز,fuse,ELECTRICITY,ALL,noun_infra,fiyouz;fiyouz 5arrab;mfs kharban;7amaya kharban,A/B/B/C,fiyouz = fuse (loanword),PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0043,عمود كهرباء,electricity pole,ELECTRICITY,EXPOSED_WIRE,noun_infra,3amoud kahraba;3moud;3amoud maysoul;3amoud meksour;3amoud wa2e3,A/A/B/C/C,maysoul = tilted; wa2e3 = fallen,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,HIGH,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0044,إنارة عامة,street lighting,ELECTRICITY,POWER_OUTAGE,noun_infra,2inara 3amma;daw l share3;2inaret l share3 kharban,A/A/B,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,MEDIUM,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0045,اشتراك,subscription,ELECTRICITY,ALL,noun_infra,ishtirak;ishtiraki;5att kahraba;5att meksour,A/A/B/B,5att = line/connection,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0046,بطارية,battery,ELECTRICITY,ALL,noun_infra,batarriye;batariye;battery;batarriye fadye,A/A/A/B,batarriye standard Lebanese; battery loanword,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0047,شمعة,candle (outage),ELECTRICITY,POWER_OUTAGE,noun_event,sham3a;sham3;3atme;fi sham3 bas,A/A/B/C,sham3a = candle; used in outage context,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,MEDIUM,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0048,خطأ كهربائي,electrical fault,ELECTRICITY,ALL,noun_event,5ata;5atta;mshkle;3atal;2atal,A/A/A/B/B,5ata = error/fault,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0049,نفايات,waste/garbage,WASTE,ALL,noun_infra,zbele;zibele;nfayat;2lebe;5orda;trash,A/A/A/B/C/D,zbele primary; nfayat MSA-influenced; trash loanword,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0050,جمع,collection,WASTE,GARBAGE_NOT_COLLECTED,noun_event,jam3;jam3 l zbele;ma 2ejou;ma jem3ou,A/A/B/B,jam3 l zbele = garbage collection,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0051,بالوعة,drain,WASTE,BLOCKED_DRAIN,noun_infra,balo3a;bala2a;balou3a;balo3a msedoude,A/B/C/A,balo3a standard; all variants common,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0052,قمامة,rubbish,WASTE,ALL,noun_infra,2mame;2imame;zbele;nfayat;trash,A/B/A/B/C,2mame more formal; zbele more colloquial,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0053,حرق,burning,WASTE,BURNING_WASTE,noun_event,7ari2a;7are2;3am y7re2u;zbele m7rou2a;nar fi zbele,A/B/B/C/C,7ari2a = fire/burning; m7rou2a = burned,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,HIGH,DEFERRED,,KEEP_CANDIDATE,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0055,فضلات,organic waste,WASTE,ALL,noun_infra,fadlat;fadalet;bawa2es;2zemet,A/A/B/B,fadlat = leftovers/waste,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0056,حاوية,dumpster,WASTE,OVERFLOWING_BIN,noun_infra,7awiye;7awiyye;7awye;container;bini,A/A/A/B/C,7awiye standard; bini colloquial for bin,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0057,تلوث,pollution,WASTE,ALL,noun_quality,talawwout;talawwot;mlayyis;wa5r,A/A/B/C,talawwout standard; mlayyis = polluted,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0058,مكب,dump site,WASTE,ALL,noun_infra,makab;ma5ab;2aradi zbele;mawde3 zbele,A/B/C/C,makab = landfill/dump,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0059,كيس,bag,WASTE,ALL,noun_infra,kees;kees zbele;kis;2kyas zbele,A/A/B/B,kees = bag (loanword base),PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0060,طش,dumping (illegal),WASTE,ILLEGAL_DUMPING,noun_event,tash;w2afou tashsh;rami zbele;3am yremo,A/B/B/B,tash = throwing/dumping Lebanese colloquial,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0061,فيضان,flood,FLOODING,ALL,noun_event,fayadan;fayden;ghare2;ghare2an;tabba3,A/A/B/B/C,fayadan standard; ghare2 = flooded; tabba3 = submerged,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0062,مياه راكدة,standing water,FLOODING,STANDING_WATER,noun_event,may wa2fe;may rakide;may 3am tsayel;sayel may;may ghatat,A/B/A/B/C,may wa2fe = standing water; sayel = flowing,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,true,LOW,DEFERRED,,KEEP_CANDIDATE,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0063,تصريف,drainage,FLOODING,BLOCKED_DRAIN,noun_infra,tasrif;tasrif meksour;may ma 3am tetfayan;balo3a msedoude,A/B/B/A,tasrif = drainage/runoff,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0064,سيل,stream/torrent,FLOODING,ALL,noun_event,sayel;seyoul;wadi;sayel kbir;may 3am tsayel l share3,A/B/B/C/C,sayel = flowing stream; seyoul = flash floods,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,true,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0065,سرداب,basement,FLOODING,HOUSE_FLOODED,noun_infra,sirdab;2adam;2adam ghare2;tahte ghare2,A/B/B/B,sirdab = basement; 2adam = downstairs,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0066,حي,neighbourhood,FLOODING,ALL,noun_infra,7ay;2azze;mantiqa;7ayye,A/B/B/B,7ay standard,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0067,مجاري,drains,FLOODING,BLOCKED_DRAIN,noun_infra,majari;majari msedoude;majari kharban,A/B/C,majari = drains/sewers,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0068,عاصفة,storm,FLOODING,ALL,noun_event,3asife;3asife kbire;matar ghzir;shita ghzir,A/B/B/B,3asife = storm; matar ghzir = heavy rain,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0069,مطر,rain,FLOODING,ALL,noun_event,matar;matar ktir;matar ghzir;2ejjit matar,A/B/B/C,matar standard,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0070,طوفان,overflow,FLOODING,BLOCKED_DRAIN,noun_event,toufan;toufan fi l mantiqa;may faret;faret 3inna,A/B/B/C,toufan = overflow/deluge,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0071,مزراب,downpipe,FLOODING,BLOCKED_DRAIN,noun_infra,mezrab;mezrab msedoud;mezrab kharban,A/B/C,mezrab = downpipe/gutter,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0072,حوض,basin/pool,FLOODING,STANDING_WATER,noun_infra,7oud;7oud may;be7r;be7r kbir,A/A/B/B,7oud = basin,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0073,امتلاء,fill-up/overflow,FLOODING,BLOCKED_DRAIN,noun_event,imtila;imtila2;faret;maye faret,A/A/B/B,imtila = filling up; faret = overflowed,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
